lexp,text,childhood,reason
http://data.open.ac.uk/led/lexp/1433108969767,"Our evening amusements commenced with music, and finished with merry games. Miss Barbara touched a sonata of Beethoven's with deep expression, in which that great composer deplores the loss of one most dear to him. It threw us into a pensive mood, when Carlton, to give a turn to such sensations, called upon me to sing the lines of his favourite poet, Sir Walter Raleigh, which harmonized with the incident of the day:— O shepherd, what is love, I pray? / It is a yea--it is a nay ; / A pretty kind of sportive play ; / it is a thing will soon away. / Takes vantage, nymphs, while yet you may, / And this is love ! I hear you say.",False,The provided passage does not address or answer the scenario described. It is a personal account of a musical evening and does not provide evidence of children's experiences with music as witnessed in bibliographic and artistic sources.
http://data.open.ac.uk/led/lexp/1450273729052,"In 1853, Madame Sontag came to Boston with a brilliant company, Carl Eckert being the conductor. When the Sontag party first arrived in America they had with them the fine boy violinist, Paul Jullien. I think he was about fifteen years of age at that time. He played mainly Alard and Leonard pieces, and played them very brilliantly. When the company had made a limited concert tour, attended with indifferent success, it was reorganized into an operatic enterprise and the boy violinist returned to Europe. I think his career was closed by death. I remember distinctly Sontag in her best role, “ La Fille du Regiment” She was a most attractive picture in her vivandiire costume, with the drum hanging from her neck by a “ sling,” and as she was a good drummer she won enormous success. She was certainly a fine actress and an excellent singer.",True,"The passage mentions the presence of a young boy violinist, Paul Jullien, who was about fifteen years old at the time. This indicates that children were involved in the musical experience described in the scenario."
http://data.open.ac.uk/led/lexp/1437748188744,"I have drawn a deplorable scene descriptive of the hearing of music in private; let me revive a scene, fresh, doubtless, in the memory of many now living, in which the hearing of music in public probably reached its climax. I allude to the production of MENDELSSOHN'S Elijah at the Birmingham festival of 1846, upon which occasion MENDELSSOHN himself wielded the conductor's baton.  On that memorable August morning in the year 1846 when, punctual to the minute, FELIX MENDELSSOHN stepped into the conductor's seat, and, facing the immense audience assembled in the noble Town Hall of Birmingham, was received with a storm of applause which was taken up and redoubled by the chorus and orchestra how little did that vast audience know that in little more than a year from that time the heart of the great composer would have ceased to beat! That day, we must always think, was the crowning moment of his life, and that great oratorio seems to us the culmination of his mighty musical and dramatic faculty. All those who were present declare that that first public performance was one never to be forgotten the novelty of treatment, the startling effects, the enchanting subjects, the prodigious daring of some of the situations, the heavenly melodies which have since become musical watchwards, and, above all, the presence of the composer, who sent an electric thrill through the room, and inspired chorus, band, and singers with the same lofty enthusiasm which made him so great and irresistible in achievement all this may now, alas, be remembered, but can never be reproduced. It made the hearing of the music of Elijah for the first time a perfectly typical occasion, and one whose conditions, as far as they are realisable, should never cease to be striven after.",False,The passage does not address or answer the scenario described. It instead focuses on the composer Mendelssohn and his performance of the oratorio Elijah at the Birmingham festival in 1846.
http://data.open.ac.uk/led/lexp/1446671326563,"The early spring of 1867 was a season of patriotic rejoicing and feverish emotion for the Hungarian nation. For eighteen years Hungary had been dealt with as a conquered country; all the political and administrative institutions had been in abeyance, and the heel of oppression had not been lifted from her neck for a single hour. Austrian military reverses in 1866, however, compelled Kaiser Franz Josef to make large concessions to his Magyar subjects...One of the most strikingly manifest results of this transaction was the ""King's"" visit to Pesth in the character of a Constitutional monarch — his first appearance in the Magyar capital since the days of his boyhood. It was my special mission to witness his reception and the fetes given publicly and privately in honour of the reconciliation achieved between victors and vanquished. Pepi Hellmesberger, with his customary intelligence, had made arrangements to give two concerts during the week of national elation, knowing full well that the capital would be thronged with representative Magyars, free-handed and pleasure- loving, their pockets full of paper currency destined to be squandered in recreation and revelry. I accompanied the ''quadrilateral of harmony"" under his command to Pesth, and punctually attended its first performance at the Redoute.",False,The passage does not directly address or answer the scenario described. It focuses on the political and historical context of Hungary in 1867 and the author's personal experience attending concerts during that time. It does not provide evidence of children's experience with music or address the collection and analysis of primary sources related to children's music experiences.
http://data.open.ac.uk/led/lexp/1433882028513,"I had the honour of being introduced to the Noble men's Catch Club, at the Thatched House Tavern, by Temple West, Esq., who was president of the evening, and I sat next to him in the chair of the Duke of Argyle, who happened to be absent....Besides noblemen, and many other distinguished persons, there were not less than twenty professional gentlemen, eminent as vocalists...These convivial meetings commence on the opening of parliament, and continue every Tuesday, with a splendid dinner at four o'clock, immediately after which the grace, Non nobis Domine, is sung by the whole company...I ventured to choose that beautiful composition of Webb's, — "" If Love and all the world were young."" What was extraordinary, it could not be found in the index ; but, after much search, a copy was procured. Lord Clinton asked me what part I should like to sing, and I chose the bass...we began the glee, and I did my best to sustain the part. I was pretty alert, or I should have had my heels tripped up by the tasteful liberties they took in performing it. However, on its being finished, I received a slight tap of approbation from Mr. Vaughan, who whispered in my ear, "" You are a scientific performer, Sir."" More than ordinary applause followed, and I was complimented upon my choice by one or two noblemen, who said they had never heard it before.",False,"The passage does not provide any information or evidence about children's experience of music as witnessed in bibliographic and artistic sources. It instead describes the narrator's experience at a men's Catch Club event, where noblemen and professional gentlemen sing songs. This does not address or provide any insights into children's experience with music."
http://data.open.ac.uk/led/lexp/1449243316327,"In his Carnaval de Ventse, he exhibited a mastery over every form of violin technics which quite reached the marvellous. His chromatic scale, played staccato from the lowest to the highest note, and down again to the lowest, in one bow,— either an up or down bow,—was a feat, a tour de force, shown us by no other virtuoso. His double trills and double harmonics were perfect. Nor was it in mere technical playing that he was great, for he played with much sentiment and feeling, and in quartette playing he showed his best quality. He was the master-player and king of all I have heard.",False,The passage does not directly address the scenario of characterizing children's experience of music as witnessed in bibliographic and artistic sources.
http://data.open.ac.uk/led/lexp/1518781014746,"Convalescence. Visited the opera for the first time. Of all the stupid things in the world, a serious opera is perhaps the most stupid, and the opera of to-night [Armida] formed no exception to this observation. The theatre is, I believe, the largest in Europe, and it is certainly too large for the singers, whose voices sound like penny trumpets on Salisbury Plain.*   * It ought to excite little wonder, that there are so few good singers in Italy; for she is unable, from her poverty, to retain those whom she has herself formed. […] Besides, the Italians of the present day have no taste for the higher kinds of music,—for full and grand harmonies,—or for instrumental music in general. If you talk to them of Haydn, Mozart, or Beethoven, they shrug up their shoulders, and tell you—"" E Musica Tedesca,—non ci abbiamo gusto."" Cherubini, their only really great composer, might perhaps be cited as an exception, […] What the Italians like, is an easy flowing melody, unincumbered, as they would call it, with too much harmony. Whatever Corinne may say to the contrary, they seem to have little or no relish for impassioned music. Take an example of the taste of the times from the Opera of to-night—Armida— the composition of their favourite Rossini. His operas are always easy and flowing;—abounding in prettinesses and melting cadenzas, but he never reaches, nor apparently does he attempt to reach, the sustained and elevated character which distinguishes the music of Mozart. But Rossini's works ought not to be too severely criticised; for the continual demand for new music is greater than any fertility of head could supply. The Italians never like to go back;—without referring so far as their own great Corelli—Cimarosa, Paisiello, and others of equally recent date, are already become antiquated; and as Rossini is almost their only composer, he is obliged to write an opera in the interval of a few weeks, between the bringing out of the last, and its being laid on the shelf.  It is a sad tantalizing thing to hear music in Italy which you may wish to carry away with you; for they have no printed music!—This alone is sufficient to indicate the low state of the art. From Naples to Milan, I believe, there is no such artist as an Engraver of Music , and you never see a Music shop. You must therefore go without it, or employ a Copier, whose trade is regulated by the most approved cheating rules. He charges you according to the quantity of paper written on, and therefore takes care not to write too closely.",False,"The passage does not provide any evidence or information related to children's experience of music. It focuses on the author's opinion of opera and the state of music in Italy, but does not address childhood experiences or provide any primary sources or evidence of children's music listening experiences."
http://data.open.ac.uk/led/lexp/1438598938260,"This same year, by the way, witnessed the brief “Perosi craze”. How that purely artificial vogue ever came to extend beyond the walls of the Italian churches no one knows. At least it should have stopped short at Paris, which was as far as the youthful abbe himself contrived to get on his road to London. But for a time the “craze"" raged in England with the virulence of an epidemic, and many sane musicians persuaded themselves that the new oratorio composer was a genius of the first magnitude. His “Transfiguration"", his “Raising of Lazarus,"" and his “Resurrection of Christ"" were all performed at the London Musical Festival which Robert Newman started at Queen's Hall in May; while his “Passion of Christ"" was given at the Norwich Festival in the autumn. In each instance, however, there was felt a keen sense of disappointment. At best Perosi's works could appeal only to the ear amid ecclesiastical surroundings, and even there their woeful lack of originality was bound to irritate the critical listener.",False,The passage does not provide any information about children's experience of music or address the scenario described.
http://data.open.ac.uk/led/lexp/1448368573498,"The best choir-singing, (Roman Catholic,) without accompaniment, we have heard, was at Munich[.]",False,The passage does not address or answer the scenario described.
http://data.open.ac.uk/led/lexp/1451667578547,"I have heard him [Anton Rubinstein] transpose one of the most heart-breaking fugues (heart-breaking, of course, only from a mechanical point of view) of the ""forty-eight"" from a flat key into a sharp key, the latter not even being one of his own selection, but chosen by a fellow-pianist whom I shrewdly suspected at the time to be guilty of intending to set Rubinstein an impossible task. He played the fugue in question— which I had only too good reason to know by heart — without missing a note or omitting an emphasis. When it was over, I noticed that the perspiration was standing out in great beads upon his massive forehead, from which unwonted symptom of fatigue I drew the inference that he had put a heavy strain upon his powers. But that he had performed this astonishing feat at unforseen request and without a minutes hesitation.",False,The passage does not specifically address or answer the scenario. It talks about Anton Rubinstein's musical abilities but does not provide evidence or insights into children's experiences with music.
http://data.open.ac.uk/led/lexp/1450351323826,"Printers have played some funny tricks with our programmes at times. It is a dangerous thing not to see a “proof"" before printing, but often the programme has to be “ rushed,” and there is no opportunity. One of our violinists was to play a solo on the old French air, “ Je suis le petit tambour."" When the concert was over, my attention was called to this number on the programme, which read, to my horror, “ Jesus le petit tambour."" At another time, Mr. Schultze was playing nightly the old caprice by Miska Hauser, entitled, The Bird in the Tree. Writing the programme one day in the office of the printer, I incautiously wrote, “ Bird business, Mr. Schultze,” supposing that they would print the full title as usual. The programmes were printed without giving me a chance to read the proof. When we came to that special number, we noticed a peculiar buzz and fun- enjoying condition among our auditors. When the concert was over, we inquired the cause, and a friend replied, handing us a programme, “ We wanted to know when Mr. Schultze was to begin his ‘ bird business.’ ” It was a funny way to learn a useful lesson.",False,The passage does not address or answer the scenario described. It is an anecdote about printing errors in concert programs and does not provide any information or evidence about children's experiences of music.
http://data.open.ac.uk/led/lexp/1450267181437,"In early days our Club held a few Mendelssohn birthday festivals. The first one, February 3, 1851, given in the Melodeon, was a great success. We invited as guests all our concert subscribers, decorated the hall tastefully, and covered the face of the balcony with white cotton cloth fringed with evergreen, on which, in letters nearly a yard long, was the legend: “ Born, Feb. 3, 1809. Died in 1847.” The stage was of course the focus of our efforts. We had borrowed a plaster bust of Mendelssohn, placed it on a pedestal festooned with flowers, and put it at the front-centre of the stage. Our five music-stands were also decorated with flowers. Then we gathered together and played round this representative, so to speak, patronymic saint He was our idol; we offered him our adoration and homage. We were young, and certainly sincere. Satisfied it was a proper thing to do, we did it, and had no mauvaise honte. Nothing of that nature could be done in this age. It would be called childish—ridiculous perhaps.",True,"The passage describes the childhood experience of the author and their peers in a music club. It illustrates their adoration and homage to a composer, indicating a genuine and sincere engagement with music. This aligns with the scenario's objective of characterizing children's experience of music witnessed in primary sources."
http://data.open.ac.uk/led/lexp/1433948181956,"With the opera stage, Bunsen had no patience, and though he visited it in London, in attendance on the Prince of Prussia, even Jenny Lind (although he entirely felt her power of grace as well as voice) failed to enable him to find pleasure or even amusement in that form of dramatic representation against which he peculiarly protested, as being the betrayal of a good cause, and the caricature of a kind of composition which he acknowledged to be founded in reason, and desired to see revived by a real master of combined verse and harmony.",False,The passage does not address or answer the scenario as it discusses the protagonist's personal preference for opera and does not provide any evidence or analysis of children's experiences with music.
http://data.open.ac.uk/led/lexp/1558348640257,"Well, indeed, do I remember my Christmas visits to Miss Dodd, when I used to pass with her generally three whole days, and be made so much of by herself and her guests: most especially do I recall the delight of one evening when she had a large tea-party, and when, with her alone in the secret, I remained for hours concealed under the table, having a small barrel-organ in my lap, and watching anxiously the moment when I was to burst upon their ears with music from — they knew not where! If the pleasure, indeed, of the poet lies in anticipating his own power over the imagination of others, I had as much the poetical feeling about me while lying hid under that table as ever I could boast since.",True,The passage describes a personal childhood experience of listening to music. It provides evidence of a child's interaction with music and their emotional response to it.
http://data.open.ac.uk/led/lexp/1438704310167,"Great as was the excitement produced by the Alice of Jenny Lind, it was perhaps exceeded by her next performance. In the part of Amina, in ""La Sonnambula,"" she surpassed all previous expectations. In simplicity, tenderness, and grace, in perfect impersonation, these qualities being combined with exquisite delivery of the music, she was universally declared to have beaten all her compeers ""out of the field."" Not only was she the Sonnamhula, but Amina was generally looked upon as the culminating point of her unprecedently successful season. Ably seconded by Gardoni, she stamped the part as her own, and threw a fresh charm over an opera, always beautiful, it is true, but yet ""hackneyed"" to the last degree.",False,"The passage does not address or answer the scenario provided. It does not provide any information about children's experiences of music, primary sources, or the collection and analysis of large corpora of texts and images."
http://data.open.ac.uk/led/lexp/1517328529598,"The Benedictine convent is highly deserving the notice of every traveller. The vast extent and general neatness of the buildings are very striking. It is enriched with a large museum […] The library is handsome; the church spacious and simple in its architecture, not being yet adorned with rich marbles. It contains an organ, justly celebrated as one of the most remarkable in Europe; the variety of its notes, and its accurate imitation of various other musical instruments, is astonishing. It is far superior to that which I heard at St. Martino, near Palermo.",False,"The passage does not address or answer the scenario as it only provides a description of a Benedictine convent and its organ, without any mention of children's experience of music or primary sources related to children."
http://data.open.ac.uk/led/lexp/1516534240565,"The Saint's day [St. Abbondio] was ushered in by all the splendour of Italian skies; the waters were blue and brilliant as the heavens: every steeple sparkled in the sunshine; and every bell tolled, from the shores of the Chiavenna, to the Duomo of Como. Not a mountain, not a paese in the district, but had yielded up its inhabitants to the festivity of the season: some issued forth upon the lake, in their various holiday garb, of bright and gaudy colours, rowing their loaded boat, which sunk deep in the water by its heavy weight; others sailed gallantly, with fluttering canvass and flaunting banners: while the inland votarists came pouring down the acclivities of Saint Fermo and Saint Elmo (the women distinguishable afar by their glittering bodkins), all bending their steps to that venerable Dome, where glittered in large golden characters—""Indulgenza Plenaria."" The day began with a musical mass, at which the Bishop of Como officiated in pontificalibus; the whole sumptuous parade of the most sumptuous and most attractive of all religions was exhibited; and the same orchestra which performed the ""Cenerentola,"" at the Opera, the night before, and symphonized the triumphs of the Glass Slipper, now with the exact same strains (the brilliant harmonies of Rossini) accompanied the most solemn and imposing ceremonies of the most holy of mysteries.",False,The passage does not provide any evidence or mention of children's experiences with music. It focuses on the festive atmosphere and religious ceremonies during a Saint's day celebration.
http://data.open.ac.uk/led/lexp/1524244153922,"[Thom reflects on the solace of song for poverty-stricken handLoom weavers, and on writing song lyrics] Song was the dew drops that gathered during the long dark night of despondency, and were sure to glitter in the very first blink of sun […] We had nothing to give but a kind look and a song […] Thinking that the better features of humanity could not be utterly defaced where song and melody were permitted to exist, and that where they were not all crushed, Hope and Mercy might yet bless the spot, some waxed bold, and for a time took leave of those who were called to “sing ayont [about] the moon”, groping amidst the material around and stringing it up, ventured on a home-made lilt.—Short was the search to find a newly kindled love, or some old heart abreaking. Such was aye amongst us and not always unnoticed, nor, as ye shall see, unsung. It was not enough that we merely chaunted, and listened; but some more ambitious, or idle if you will, they in time would try a self-conceived song. Just as if some funny little boy, bolder than the rest, would creep into the room where lay Neil Gow’s fiddle, and touch a note or two he could not name. How proud he is! how blest! for he had made a sound, and more, his playmates heard it, faith! Here I will introduce one of these early touches [the lyrics to Thom’s air ‘Lass, gin you lo’e me, tell me noe’]. […] This ditty was sung in the weaving shops, and when in the warbling of one who could lend a good voice to the occasion, and could coax the words and air into a sort of social understanding, then was it a song. I cannot remember the precise date of this melancholy creation. Sure enough some time around 1826, when banks were falling like meteors, but rather oftener; the world seemed hurrying to ruin […] Amidst all this, and more than all this, weavers would sing.",False,"The passage does not directly address or answer the scenario described. It provides insights into the experiences of adult weavers and their use of song, but does not specifically focus on children's experiences with music."
http://data.open.ac.uk/led/lexp/1509033477958,"I was entertained in the evening with the music of some of those itinerant performers, that play at Christmas in the streets of Rome and Naples. Their native country is Basilicata, where the inhabitants of the Apennines learn from their infancy to wield the mattock with one hand, and the flageolet or bagpipe with the other. In these savages of Italy, music is not merely an art of pastime or luxury, but a talent awakened by necessity. Their usual employment is hoeing out drains, to draw the water off the land; but as there is not every year, nor in all seasons, a superabundance of rain, they take up their musical instruments for a maintenance, and, in small parties, travel over Italy, France, and Spain. Some have penetrated even into America, and returned from thence with great comparative riches, earned by their pastoral melody. Their concerts are generally composed of two musicians, who play on very long, large bagpipes, in unison:—I mean as to the tone, because one is always an octave higher than the other; while a third musician sounds a kind of hautboy, and, at the end of each ritornel, chants a rural ditty, to which the bagpipes play an accompaniment. The airs are all nearly alike, upon the model of the following Pastorale or Siciliana. [...]  The trifling differences depend upon a greater or lesser vivacity in the performers, who are wont to embellish the common tune with variations, out of their own fancy. Every air, however, is composed of two characters: the ritornel is cheerful; the vocal part, slow and mournful. The instruments are all made by the shepherds themselves, in those forms and sizes which tradition has handed down to them, and experience has taught them to imitate.",True,The passage mentioned that the itinerant performers learn to play the flageolet or bagpipe from their infancy. This indicates that children in Basilicata start learning and experiencing music at a young age.
http://data.open.ac.uk/led/lexp/1438444169457,"Notwithstanding its French origin  and treatment, “Esmeralda” was in all essential  matters an English opera, and as such the public  knew and remembered it. Clothed in a foreign  garb, it did not really appeal to connoisseurs, while  the subscribers, as usual, gave infinitely more  thought to the interpreters than to the work. That  Goring Thomas's charming opera would have  fared better— obtained an abiding-place in the active repertory— had it been presented in English by  the same distinguished artists, is also a matter of  doubt. Experience has proved that Covent Garden audiences do not care for opera in the vernacular, whether the work be of native or Continental origin; and it is the same, I believe, with  the audiences of the Metropolitan Opera House in  New York. Nor will the prejudice be overcome  until the leading singers of the English-speaking countries are perfectly trained in the enunciation of their native tongue and can coax  their compatriots into listening with pleasurable appreciation to first-rate native works rendered in the language “understanded of the  people.”",False,The passage does not address or answer the scenario described. It discusses the preference of audiences for opera in the vernacular language and the challenges faced by English-speaking countries in that regard.
http://data.open.ac.uk/led/lexp/1449838049359,"On the following day I was a guest at the annual dinner of the ship-owners of Hamburg, Hull, and Grimsby. On these occasions, after the third course, the toasts and speeches are given out between the succeeding courses ; the favourite toasts are responded to musically in a manner, I must own, very superior to our “ Hip, hip, hurrah,” and “ For he’s a jolly good fellow.” All the guests sang in perfect time and tune, most of them being, as I ascertained, members of various choral and other associations for the practice of vocal part music.",False,"The passage does not address or answer the scenario described. It mentions a dinner event and guests participating in singing, but it does not provide any evidence or information about children's experiences with music."
http://data.open.ac.uk/led/lexp/1461619728886,"[At the annual ""Caecilien-Fest"" at Münster in Westphalia] The Triumphlied...went splendidly. Brahms conducted, and the joy and gratification expressed in his face at the end, when acknowledging the enthusiastic acclamations of audience, chorus, and orchestra, was evidently caused as much by the consciousness of having written a truly great work, as by its reception and appreciation ; a most welcome change from the affected display of modesty or indifference often exhibited on concert platforms.",False,The passage does not provide any information or evidence about children's experience of music or their listening experiences. It focuses on Brahms conducting a work at a concert and his response to the audience's reception.
http://data.open.ac.uk/led/lexp/1438592214311,"The predominant position of Paderewski had long since been assured; now, however, came Moritz Rosenthal and Eugen d'Albert, seeking a London endorsement of the reputations they had already won on the Continent and in America. In each case the general verdict was emphatically ratified. Moritz Rosenthal's debut at the Richter concerts (June 10, 1895), when he played the Liszt concerto in E flat, created a genuine sensation; and his subsequent recitals confirmed the opinion that he possessed the most phenomenal technique of any living pianist.",False,"The passage does not address or answer the scenario described. It discusses the reputation and debut of pianists, which is unrelated to children's experience of music as witnessed in bibliographic and artistic sources."
